Date;Last Price;Volume;SMAVG (15)
08.05.2002;5028,59;81410120;75330272
07.05.2002;4872,41;87518680;74119640
06.05.2002;4880,67;45018460;71544992
03.05.2002;4882,77;103160024;72749888
02.05.2002;4964,56;95251776;70342104
30.04.2002;5041,2;72855736;68187792
29.04.2002;5008,04;59265240;67014456
26.04.2002;5000,38;80705128;67333248
25.04.2002;5054,41;106075352;65080324
24.04.2002;5160,14;65367548;62271556
23.04.2002;5192,1;77436408;62001024
22.04.2002;5205,48;55450960;60816892
19.04.2002;5284,55;52276872;60047624
18.04.2002;5262,88;83330096;60123056
17.04.2002;5318,55;64831696;59250832
16.04.2002;5343,88;63250672;57950816
15.04.2002;5244,2;48898944;57983988
12.04.2002;5189,65;63091852;59681160
11.04.2002;5162,96;67043280;60453296
10.04.2002;5265,36;62937124;60885012
09.04.2002;5170,25;55255684;61073900
08.04.2002;5180,33;64047164;68751256
05.04.2002;5260,53;46911228;68054936
04.04.2002;5254,95;63943800;70358208
03.04.2002;5281,84;61309560;70871720
02.04.2002;5311,08;59674440;71781464
28.03.2002;5397,29;43911952;73008488
27.03.2002;5348;53408368;76052160
26.03.2002;5390,59;70246704;77629912
25.03.2002;5317,38;45331488;79042368
22.03.2002;5366,13;63748204;82090120
21.03.2002;5348,68;74356528;82356160
20.03.2002;5364,7;74673920;82366624
19.03.2002;5462,55;73519024;82639744
18.03.2002;5426,04;65770416;83150816
15.03.2002;5401,11;170416048;82752936
14.03.2002;5276,87;53602344;76288472
13.03.2002;5245,99;81460328;77479672
12.03.2002;5275,81;71646464;77037112
11.03.2002;5340,67;74955744;77068592
08.03.2002;5359,55;78079816;74836032
07.03.2002;5289,43;89567032;73946216
06.03.2002;5285,26;77074584;72765640
05.03.2002;5228,67;91433552;72328064
04.03.2002;5245,84;91047784;70812584
01.03.2002;5097,41;67738832;69152696
28.02.2002;5039,08;74513432;69637264
27.02.2002;4960,22;78770752;71229424
26.02.2002;4897,75;81185072;73351504
25.02.2002;4863,54;59802212;74233432
22.02.2002;4745,58;73449184;74564600
21.02.2002;4850,73;71470344;74349200
20.02.2002;4780,24;74821832;74820304
19.02.2002;4764,05;72118736;76111488
18.02.2002;4871,76;41467260;76378528
15.02.2002;4862,6;64732576;77584144
14.02.2002;4973,77;71858440;77037632
13.02.2002;4935,35;70510992;77570024
12.02.2002;4884,78;68701312;78293352
11.02.2002;4940;66149452;78293072
08.02.2002;4835,95;75007360;77032392
07.02.2002;4862,62;98395808;77069744
06.02.2002;4804,41;110601920;76860680
05.02.2002;4936,75;94414056;75325864
04.02.2002;4984,48;64769716;74467152
01.02.2002;5097,06;70218248;75019520
31.01.2002;5107,61;78536800;74804120
30.01.2002;5052,2;94189680;74555480
29.01.2002;5084,52;76124240;74605536
28.01.2002;5159,02;59551568;76161904
